* Barcode = SLB96
* Block Type = OpenArray Block
* Chemistry = TAQMAN
* Comment = NA
* Date Created = 05-19-2015 15:23:02 CEST
* Experiment File Name = \\rbamsfp281\Dept_PRB\_Org\Virology iPS\Lucy\Experiments\TaqMan Open Array\2015-05-18 OA David's genes - 2\SLB96_2015_05_18_Davids genes.eds
* Experiment Name = SLB96
* Experiment Run End Time = 05-18-2015 17:56:18 CEST
* Experiment Type = Gene Expression
* Instrument Name = 285880792
* Instrument Serial Number = 285880792
* Instrument Type = QuantStudio 12K Flex
* Passive Reference = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 3
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	Ct	Ct Mean	Ct SD	Amp Score	Cq Conf	CRTAMPLITUDE	HIGHSD	CRTNOISE	ROX Signal
21	A1c5	false	Sample7	Hs01056398_m1	UNKNOWN	FAM	NFQ-MGB	23.441	23.458	0.024	1.496	0.955	N	N	N	5,219.794
22	A1c6	false	Sample7	Hs00430452_m1	UNKNOWN	FAM	NFQ-MGB	25.792	25.746	0.065	1.540	0.970	N	N	N	4,503.147
23	A1c7	false	Sample7	Hs00705164_s1	UNKNOWN	FAM	NFQ-MGB	28.865	29.704	1.187	1.591	0.982	N	Y	N	5,105.000
24	A1c8	false	Sample7	Hs01120670_m1	UNKNOWN	FAM	NFQ-MGB	20.949	20.880	0.099	1.478	0.961	N	N	N	3,812.059
25	A1d1	false	Sample7	Hs02330328_s1	UNKNOWN	FAM	NFQ-MGB	27.986	28.285	0.423	1.582	0.972	N	N	N	5,364.382
26	A1d2	false	Sample7	Hs00261432_m1	UNKNOWN	FAM	NFQ-MGB	25.971	25.977	0.008	1.464	0.979	N	N	N	5,045.088
27	A1d3	false	Sample7	Hs00275575_m1	UNKNOWN	FAM	NFQ-MGB	21.957	21.892	0.092	1.529	0.961	N	N	N	4,986.794
28	A1d4	false	Sample7	Hs01560445_m1	UNKNOWN	FAM	NFQ-MGB	20.847	20.809	0.054	1.564	0.965	N	N	N	4,681.618
29	A1d5	false	Sample7	Hs00356233_m1	UNKNOWN	FAM	NFQ-MGB	24.964	24.806	0.223	1.573	0.972	N	N	N	4,837.588
30	A1d6	false	Sample7	Hs01031951_m1	UNKNOWN	FAM	NFQ-MGB	23.628	23.545	0.117	1.544	0.971	N	N	N	4,783.441
31	A1d7	false	Sample7	Hs00275889_m1	UNKNOWN	FAM	NFQ-MGB	24.462	24.426	0.051	1.595	0.982	N	N	N	5,196.794
32	A1d8	false	Sample7	Hs01014809_g1	UNKNOWN	FAM	NFQ-MGB	24.251	24.230	0.030	1.566	0.981	N	N	N	4,861.794
33	A1e1	false	Sample7	Hs00165106_m1	UNKNOWN	FAM	NFQ-MGB	22.703	22.758	0.077	1.557	0.976	N	N	N	5,877.647
34	A1e2	false	Sample7	Hs00169233_m1	UNKNOWN	FAM	NFQ-MGB	26.540	26.133	0.576	1.663	0.983	N	Y	N	4,678.735
35	A1e3	false	Sample7	Hs01020387_m1	UNKNOWN	FAM	NFQ-MGB	26.230	26.372	0.201	1.555	0.989	N	N	N	4,945.441
36	A1e4	false	Sample7	Hs00608023_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.000	0.000	Y	N	Y	4,700.618
37	A1e5	false	Sample7	Hs04183483_g1	UNKNOWN	FAM	NFQ-MGB	25.713	25.909	0.277	1.545	0.961	N	N	N	5,143.324
38	A1e6	false	Sample7	Hs00367082_g1	UNKNOWN	FAM	NFQ-MGB	30.904	30.309	0.842	1.440	0.963	N	Y	N	4,973.765
39	A1e7	false	Sample7	Hs00242302_m1	UNKNOWN	FAM	NFQ-MGB	25.787	25.722	0.093	1.412	0.975	N	N	N	5,382.118
40	A1e8	false	Sample7	Hs00169255_m1	UNKNOWN	FAM	NFQ-MGB	22.827	22.741	0.122	1.598	0.984	N	N	N	4,945.441
41	A1f1	false	Sample7	Hs01054797_g1	UNKNOWN	FAM	NFQ-MGB	26.567	26.403	0.233	1.533	0.971	N	N	N	5,416.647
42	A1f2	false	Sample7	Hs00222966_m1	UNKNOWN	FAM	NFQ-MGB	29.600	29.929	0.465	1.646	0.981	N	N	N	5,018.147
43	A1f3	false	Sample7	Hs00355671_g1	UNKNOWN	FAM	NFQ-MGB	22.239	22.177	0.088	1.528	0.982	N	N	N	4,993.882
44	A1f4	false	Sample7	Hs01113624_g1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.000	0.000	Y	N	Y	5,098.118
45	A1f5	false	Sample7	Hs00417120_m1	UNKNOWN	FAM	NFQ-MGB	29.932	30.566	0.898	1.614	0.977	N	Y	N	5,090.471
46	A1f6	false	Sample7	Hs00271599_m1	UNKNOWN	FAM	NFQ-MGB	26.514	26.243	0.383	1.558	0.977	N	N	N	5,002.324
47	A1f7	false	Sample7	Hs00171147_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.467	0.000	Y	N	Y	4,953.206
48	A1f8	false	Sample7	Hs04194512_g1	UNKNOWN	FAM	NFQ-MGB	26.575	26.312	0.372	1.627	0.980	N	N	N	4,771.265
49	A1g1	false	Sample7					Undetermined					N	N	N	
50	A1g2	false	Sample7					Undetermined					N	N	N	
51	A1g3	false	Sample7	Hs01066930_m1	UNKNOWN	FAM	NFQ-MGB	26.318	26.525	0.293	1.595	0.977	N	N	N	5,232.059
52	A1g4	false	Sample7	Hs00153294_m1	UNKNOWN	FAM	NFQ-MGB	25.558	25.656	0.137	1.385	0.967	N	N	N	4,843.676
53	A1g5	false	Sample7	Hs00155026_m1	UNKNOWN	FAM	NFQ-MGB	20.567	20.530	0.052	1.502	0.976	N	N	N	5,101.706
54	A1g6	false	Sample7	Hs01026927_g1	UNKNOWN	FAM	NFQ-MGB	24.616	24.467	0.212	1.593	0.987	N	N	N	5,057.794
55	A1g7	false	Sample7					Undetermined					N	N	N	
56	A1g8	false	Sample7					Undetermined					N	N	N	
57	A1h1	false	Sample7					Undetermined					N	N	N	
58	A1h2	false	Sample7					Undetermined					N	N	N	
59	A1h3	false	Sample7	Hs00171432_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.000	0.000	Y	N	Y	4,983.500
60	A1h4	false	Sample7	Hs00361432_s1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.000	0.000	Y	N	Y	4,876.441
61	A1h5	false	Sample7	Hs00201853_m1	UNKNOWN	FAM	NFQ-MGB	29.957	28.483	2.084	1.589	0.980	N	Y	N	5,091.265
62	A1h6	false	Sample7	Hs00169366_m1	UNKNOWN	FAM	NFQ-MGB	29.538	29.538		1.625	0.980	N	N	N	4,686.088
63	A1h7	false	Sample7					Undetermined					N	N	N	
64	A1h8	false	Sample7					Undetermined					N	N	N	
65	A2a1	false	Sample7	Hs02383872_s1	UNKNOWN	FAM	NFQ-MGB	20.262	20.221	0.057	1.563	0.960	N	N	N	4,910.588
66	A2a2	false	Sample7	Hs00426275_m1	UNKNOWN	FAM	NFQ-MGB	21.824	21.820	0.006	1.479	0.950	N	N	N	4,776.441
67	A2a3	false	Sample7	Hs04187470_m1	UNKNOWN	FAM	NFQ-MGB	24.774	24.777	0.004	1.495	0.977	N	N	N	4,033.941
68	A2a4	false	Sample7	Hs01013996_m1	UNKNOWN	FAM	NFQ-MGB	24.698	24.696	0.003	1.535	0.969	N	N	N	4,356.588
69	A2a5	false	Sample7	Hs00426608_m1	UNKNOWN	FAM	NFQ-MGB	25.778	25.740	0.053	1.462	0.970	N	N	N	4,171.529
70	A2a6	false	Sample7	Hs01551887_m1	UNKNOWN	FAM	NFQ-MGB	18.316	18.272	0.062	1.500	0.945	N	N	N	4,176.235
71	A2a7	false	Sample7	Hs00230385_m1	UNKNOWN	FAM	NFQ-MGB	24.597	24.989	0.555	1.373	0.955	N	Y	N	4,264.676
72	A2a8	false	Sample7	Hs00230189_m1	UNKNOWN	FAM	NFQ-MGB	25.233	25.239	0.008	1.488	0.953	N	N	N	4,332.735
73	A2b1	false	Sample7	Hs00380895_m1	UNKNOWN	FAM	NFQ-MGB	24.687	24.449	0.337	1.560	0.981	N	N	N	4,913.176
74	A2b2	false	Sample7	Hs01114267_m1	UNKNOWN	FAM	NFQ-MGB	26.107	26.518	0.581	1.552	0.980	N	Y	N	4,574.588
75	A2b3	false	Sample7	Hs00157347_m1	UNKNOWN	FAM	NFQ-MGB	23.693	23.717	0.035	1.534	0.956	N	N	N	4,337.794
76	A2b4	false	Sample7	Hs01586213_m1	UNKNOWN	FAM	NFQ-MGB	20.435	20.528	0.132	1.636	0.953	N	N	N	4,376.853
77	A2b5	false	Sample7	Hs00241027_m1	UNKNOWN	FAM	NFQ-MGB	18.833	18.855	0.031	1.586	0.946	N	N	N	4,602.029
78	A2b6	false	Sample7	Hs01100039_m1	UNKNOWN	FAM	NFQ-MGB	25.655	25.625	0.042	1.482	0.978	N	N	N	4,261.882
79	A2b7	false	Sample7	Hs00930058_m1	UNKNOWN	FAM	NFQ-MGB	27.134	27.245	0.157	1.524	0.979	N	N	N	4,543.618
80	A2b8	false	Sample7	Hs00978358_g1	UNKNOWN	FAM	NFQ-MGB	21.146	21.396	0.354	1.451	0.939	N	N	N	4,438.971
81	A2c1	false	Sample7	Hs02569702_s1	UNKNOWN	FAM	NFQ-MGB	22.483	22.149	0.472	1.188	0.740	N	N	N	4,905.441
82	A2c2	false	Sample7	Hs01119078_mH	UNKNOWN	FAM	NFQ-MGB	28.178	28.854	0.956	1.591	0.971	N	Y	N	4,769.088
83	A2c3	false	Sample7	Hs00604506_m1	UNKNOWN	FAM	NFQ-MGB	19.848	19.858	0.014	1.525	0.973	N	N	N	4,512.941
84	A2c4	false	Sample7	Hs00161204_m1	UNKNOWN	FAM	NFQ-MGB	29.752	29.345	0.575	1.531	0.968	N	Y	N	4,456.647
85	A2c5	false	Sample7	Hs00166821_m1	UNKNOWN	FAM	NFQ-MGB	23.526	23.575	0.068	1.411	0.964	N	N	N	4,705.647
86	A2c6	false	Sample7	Hs04195026_sH	UNKNOWN	FAM	NFQ-MGB	21.559	21.677	0.167	1.540	0.978	N	N	N	4,703.059
87	A2c7	false	Sample7	Hs00426361_m1	UNKNOWN	FAM	NFQ-MGB	28.857	28.809	0.068	1.497	0.970	N	N	N	4,678.941
88	A2c8	false	Sample7	Hs00426380_m1	UNKNOWN	FAM	NFQ-MGB	27.516	27.521	0.006	1.581	0.975	N	N	N	4,649.265
89	A2d1	false	Sample7	Hs04183452_g1	UNKNOWN	FAM	NFQ-MGB	24.970	25.251	0.397	1.526	0.980	N	N	N	4,925.029
90	A2d2	false	Sample7	Hs00157048_m1	UNKNOWN	FAM	NFQ-MGB	24.781	24.738	0.060	1.494	0.972	N	N	N	4,722.412
91	A2d3	false	Sample7	Hs00747232_mH	UNKNOWN	FAM	NFQ-MGB	22.803	22.763	0.057	1.594	0.982	N	N	N	4,475.706
92	A2d4	false	Sample7	Hs02560787_s1	UNKNOWN	FAM	NFQ-MGB	22.101	21.971	0.184	1.565	0.980	N	N	N	4,336.824
93	A2d5	false	Sample7	Hs00195591_m1	UNKNOWN	FAM	NFQ-MGB	32.767	32.694	0.104	1.466	0.967	N	N	N	4,625.353
94	A2d6	false	Sample7	Hs00950344_m1	UNKNOWN	FAM	NFQ-MGB	28.264	28.528	0.373	1.620	0.983	N	N	N	4,537.235
95	A2d7	false	Sample7	Hs00609799_m1	UNKNOWN	FAM	NFQ-MGB	24.151	23.971	0.255	1.617	0.973	N	N	N	4,636.588
96	A2d8	false	Sample7	Hs01026189_g1	UNKNOWN	FAM	NFQ-MGB	25.714	25.991	0.391	1.584	0.969	N	N	N	4,653.382
97	A2e1	false	Sample7	Hs04188837_g1	UNKNOWN	FAM	NFQ-MGB	22.451	22.511	0.085	1.557	0.975	N	N	N	5,130.382
98	A2e2	false	Sample7	Hs00248075_m1	UNKNOWN	FAM	NFQ-MGB	30.636	30.649	0.018	1.571	0.974	N	N	N	4,748.294
99	A2e3	false	Sample7	Hs00358796_g1	UNKNOWN	FAM	NFQ-MGB	25.734	25.782	0.067	1.433	0.972	N	N	N	4,375.441
100	A2e4	false	Sample7	Hs00173927_m1	UNKNOWN	FAM	NFQ-MGB	25.903	25.770	0.187	1.591	0.985	N	N	N	4,396.029
101	A2e5	false	Sample7	Hs00171132_m1	UNKNOWN	FAM	NFQ-MGB	21.151	21.161	0.015	1.545	0.966	N	N	N	4,397.853
102	A2e6	false	Sample7	Hs00231069_m1	UNKNOWN	FAM	NFQ-MGB	26.448	26.455	0.010	1.618	0.985	N	N	N	4,685.147
103	A2e7	false	Sample7	Hs00232783_m1	UNKNOWN	FAM	NFQ-MGB	29.477	29.483	0.008	1.531	0.982	N	N	N	4,547.882
104	A2e8	false	Sample7	Hs00207691_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.462	0.000	Y	N	Y	4,545.882
105	A2f1	false	Sample7	Hs00985639_m1	UNKNOWN	FAM	NFQ-MGB	31.316	31.316		1.559	0.975	N	N	N	5,064.588
106	A2f2	false	Sample7	Hs00174092_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.037	0.000	Y	N	Y	5,007.971
107	A2f3	false	Sample7	Hs00895608_m1	UNKNOWN	FAM	NFQ-MGB	26.806	26.800	0.009	1.483	0.976	N	N	N	4,552.824
108	A2f4	false	Sample7	Hs01911452_s1	UNKNOWN	FAM	NFQ-MGB	25.898	25.821	0.108	1.621	0.977	N	N	N	4,576.853
109	A2f5	false	Sample7	Hs01921425_s1	UNKNOWN	FAM	NFQ-MGB	23.160	23.117	0.061	1.592	0.978	N	N	N	4,456.853
110	A2f6	false	Sample7	Hs00942643_m1	UNKNOWN	FAM	NFQ-MGB	29.739	29.739		1.590	0.976	N	N	N	4,491.794
111	A2f7	false	Sample7	Hs04194779_g1	UNKNOWN	FAM	NFQ-MGB	20.736	20.725	0.016	1.573	0.982	N	N	N	4,412.588
112	A2f8	false	Sample7	Hs00952741_m1	UNKNOWN	FAM	NFQ-MGB	28.247	27.917	0.467	1.467	0.983	N	N	N	4,665.294
113	A2g1	false	Sample7					Undetermined					N	N	N	
114	A2g2	false	Sample7					Undetermined					N	N	N	
115	A2g3	false	Sample7	Hs00932747_m1	UNKNOWN	FAM	NFQ-MGB	21.348	21.468	0.170	1.583	0.966	N	N	N	4,699.118
116	A2g4	false	Sample7	Hs01551078_m1	UNKNOWN	FAM	NFQ-MGB	28.317	28.585	0.379	1.658	0.982	N	N	N	4,530.853
117	A2g5	false	Sample7	Hs00152939_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined	31.132		0.000	0.000	Y	N	Y	4,886.559
118	A2g6	false	Sample7	Hs00152972_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.000	0.000	Y	N	Y	4,458.500
119	A2g7	false	Sample7					Undetermined					N	N	N	
120	A2g8	false	Sample7					Undetermined					N	N	N	
121	A2h1	false	Sample7					Undetermined					N	N	N	
122	A2h2	false	Sample7					Undetermined					N	N	N	
123	A2h3	false	Sample7	Hs00355049_m1	UNKNOWN	FAM	NFQ-MGB	24.366	24.391	0.035	1.538	0.963	N	N	N	4,808.882
124	A2h4	false	Sample7	Hs00182031_m1	UNKNOWN	FAM	NFQ-MGB	26.826	26.567	0.366	1.565	0.974	N	N	N	4,237.471
125	A2h5	false	Sample7	Hs01547250_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.000	0.000	Y	N	Y	4,567.882
126	A2h6	false	Sample7	Hs00609296_g1	UNKNOWN	FAM	NFQ-MGB	25.654	25.594	0.085	1.565	0.981	N	N	N	4,890.941
127	A2h7	false	Sample7					Undetermined					N	N	N	
128	A2h8	false	Sample7					Undetermined					N	N	N	
129	A3a1	false	Sample7	Hs00608480_m1	UNKNOWN	FAM	NFQ-MGB	25.051	25.380	0.465	1.499	0.964	N	N	N	4,884.794
130	A3a2	false	Sample7	Hs00973654_m1	UNKNOWN	FAM	NFQ-MGB	23.839	23.890	0.072	1.568	0.975	N	N	N	4,465.294
131	A3a3	false	Sample7	Hs00427552_m1	UNKNOWN	FAM	NFQ-MGB	22.932	22.918	0.019	1.405	0.921	N	N	N	4,164.676
132	A3a4	false	Sample7	Hs00198409_m1	UNKNOWN	FAM	NFQ-MGB	22.850	22.876	0.037	1.422	0.948	N	N	N	4,092.000
133	A3a5	false	Sample7	Hs00202073_m1	UNKNOWN	FAM	NFQ-MGB	23.407	23.457	0.072	1.516	0.967	N	N	N	4,069.677
134	A3a6	false	Sample7	Hs00157976_m1	UNKNOWN	FAM	NFQ-MGB	19.211	19.220	0.012	1.521	0.965	N	N	N	4,039.147
135	A3a7	false	Sample7	Hs00154808_m1	UNKNOWN	FAM	NFQ-MGB	25.485	25.382	0.145	1.485	0.967	N	N	N	4,175.000
136	A3a8	false	Sample7	Hs00378551_m1	UNKNOWN	FAM	NFQ-MGB	22.766	22.792	0.036	1.522	0.955	N	N	N	4,242.176
137	A3b1	false	Sample7	Hs00985427_m1	UNKNOWN	FAM	NFQ-MGB	21.743	21.728	0.021	1.516	0.979	N	N	N	4,817.235
138	A3b2	false	Sample7	Hs00173490_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.000	0.000	Y	N	Y	4,348.176
139	A3b3	false	Sample7	Hs00198527_m1	UNKNOWN	FAM	NFQ-MGB	25.661	25.727	0.094	1.496	0.956	N	N	N	4,326.206
140	A3b4	false	Sample7	Hs00542792_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.460	0.000	Y	N	Y	4,215.441
141	A3b5	false	Sample7	Hs01566156_m1	UNKNOWN	FAM	NFQ-MGB	23.328	23.276	0.073	1.576	0.975	N	N	N	4,410.971
142	A3b6	false	Sample7	Hs00173526_m1	UNKNOWN	FAM	NFQ-MGB	24.782	24.760	0.030	1.559	0.959	N	N	N	4,739.176
143	A3b7	false	Sample7	Hs02621496_s1	UNKNOWN	FAM	NFQ-MGB	20.806	20.888	0.117	1.515	0.976	N	N	N	4,491.118
144	A3b8	false	Sample7	Hs00416923_m1	UNKNOWN	FAM	NFQ-MGB	26.636	26.684	0.068	1.592	0.960	N	N	N	4,405.324
145	A3c1	false	Sample7	Hs00992319_m1	UNKNOWN	FAM	NFQ-MGB	22.711	22.743	0.045	1.424	0.961	N	N	N	2,586.941
146	A3c2	false	Sample7	Hs02383413_s1	UNKNOWN	FAM	NFQ-MGB	21.294	21.296	0.003	1.619	0.980	N	N	N	4,694.265
147	A3c3	false	Sample7	Hs00212963_m1	UNKNOWN	FAM	NFQ-MGB	24.392	24.422	0.042	1.537	0.983	N	N	N	4,276.529
148	A3c4	false	Sample7	Hs00275607_m1	UNKNOWN	FAM	NFQ-MGB	20.573	20.556	0.024	1.595	0.949	N	N	N	4,720.794
149	A3c5	false	Sample7	Hs00156197_m1	UNKNOWN	FAM	NFQ-MGB	23.069	22.962	0.152	1.587	0.966	N	N	N	4,613.647
150	A3c6	false	Sample7	Hs00219089_m1	UNKNOWN	FAM	NFQ-MGB	25.973	25.962	0.016	1.569	0.986	N	N	N	4,515.294
151	A3c7	false	Sample7	Hs00426592_m1	UNKNOWN	FAM	NFQ-MGB	20.878	21.111	0.330	1.467	0.961	N	N	N	4,346.735
152	A3c8	false	Sample7	Hs00608677_m1	UNKNOWN	FAM	NFQ-MGB	27.049	27.580	0.750	1.641	0.961	N	Y	N	4,344.176
153	A3d1	false	Sample7	Hs01573837_g1	UNKNOWN	FAM	NFQ-MGB	26.835	26.804	0.043	1.548	0.979	N	N	N	4,378.941
154	A3d2	false	Sample7	Hs00152928_m1	UNKNOWN	FAM	NFQ-MGB	24.455	24.557	0.144	1.524	0.983	N	N	N	4,656.765
155	A3d3	false	Sample7	Hs00914120_m1	UNKNOWN	FAM	NFQ-MGB	26.713	26.692	0.029	1.530	0.961	N	N	N	4,205.676
156	A3d4	false	Sample7	Hs00171584_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.577	0.000	Y	N	Y	4,564.500
157	A3d5	false	Sample7	Hs00946916_m1	UNKNOWN	FAM	NFQ-MGB	20.438	20.450	0.018	1.594	0.983	N	N	N	4,278.294
158	A3d6	false	Sample7	Hs01067777_m1	UNKNOWN	FAM	NFQ-MGB	18.414	18.404	0.014	1.550	0.974	N	N	N	4,498.382
159	A3d7	false	Sample7	Hs00983323_m1	UNKNOWN	FAM	NFQ-MGB	21.702	21.767	0.092	1.586	0.990	N	N	N	4,384.912
160	A3d8	false	Sample7	Hs00185873_m1	UNKNOWN	FAM	NFQ-MGB	25.640	25.418	0.313	1.569	0.978	N	N	N	4,421.706
161	A3e1	false	Sample7	Hs00909569_g1	UNKNOWN	FAM	NFQ-MGB	22.187	21.969	0.309	1.379	0.923	N	N	N	4,036.147
162	A3e2	false	Sample7	Hs00606086_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.000	0.000	Y	N	Y	4,977.147
163	A3e3	false	Sample7	Hs00179843_m1	UNKNOWN	FAM	NFQ-MGB	29.628	29.880	0.356	1.446	0.960	N	N	N	4,434.794
164	A3e4	false	Sample7	Hs01110766_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.430	0.000	Y	N	Y	4,637.206
165	A3e5	false	Sample7	Hs01119974_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.000	0.000	Y	N	Y	4,287.029
166	A3e6	false	Sample7	Hs01090242_m1	UNKNOWN	FAM	NFQ-MGB	26.474	26.486	0.016	1.543	0.984	N	N	N	4,691.294
167	A3e7	false	Sample7	Hs00174717_m1	UNKNOWN	FAM	NFQ-MGB	23.056	23.063	0.010	1.560	0.986	N	N	N	4,681.029
168	A3e8	false	Sample7	Hs00272345_m1	UNKNOWN	FAM	NFQ-MGB	22.106	22.126	0.029	1.497	0.968	N	N	N	4,228.441
169	A3f1	false	Sample7	Hs00902543_g1	UNKNOWN	FAM	NFQ-MGB	26.131	26.291	0.226	1.612	0.978	N	N	N	4,638.500
170	A3f2	false	Sample7	Hs01035168_m1	UNKNOWN	FAM	NFQ-MGB	25.046	25.086	0.057	1.576	0.964	N	N	N	4,644.147
171	A3f3	false	Sample7	Hs00175407_m1	UNKNOWN	FAM	NFQ-MGB	23.327	23.543	0.305	1.636	0.973	N	N	N	4,222.794
172	A3f4	false	Sample7	Hs04187831_g1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.000	0.000	Y	N	Y	4,708.441
173	A3f5	false	Sample7	Hs00354985_m1	UNKNOWN	FAM	NFQ-MGB	25.736	25.490	0.349	1.606	0.986	N	N	N	4,141.559
174	A3f6	false	Sample7	Hs01062014_m1	UNKNOWN	FAM	NFQ-MGB	29.440	29.868	0.606	1.504	0.974	N	Y	N	4,538.029
175	A3f7	false	Sample7	Hs01050702_m1	UNKNOWN	FAM	NFQ-MGB	28.372	28.131	0.340	1.639	0.988	N	N	N	4,493.147
176	A3f8	false	Sample7	Hs01063858_m1	UNKNOWN	FAM	NFQ-MGB	30.241	29.329	1.290	1.592	0.958	N	Y	N	4,325.588
177	A3g1	false	Sample7					Undetermined					N	N	N	
178	A3g2	false	Sample7					Undetermined					N	N	N	
179	A3g3	false	Sample7	Hs01086177_m1	UNKNOWN	FAM	NFQ-MGB	31.012	29.363	2.332	1.568	0.978	N	Y	N	4,547.000
180	A3g4	false	Sample7	Hs04234730_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.476	0.000	Y	N	Y	4,486.500
181	A3g5	false	Sample7	Hs00183740_m1	UNKNOWN	FAM	NFQ-MGB	Undetermined			0.652	0.000	Y	N	Y	4,189.706
182	A3g6	false	Sample7	Hs01070032_m1	UNKNOWN	FAM	NFQ-MGB	28.148	28.279	0.185	1.530	0.963	N	N	N	4,541.735
183	A3g7	false	Sample7					Undetermined					N	N	N	
